"country","subject","resp","cat","condition","site"
"India",4815,3,0.5,"mind",5
"India",4825,1,-0.5,"body",5
"India",4825,2,0.5,"mind",5
"India",4836,1,-0.5,"body",5
"India",4836,0,0.5,"mind",5
"India",4842,0,-0.5,"body",5
"India",4842,1,0.5,"mind",5
"India",4845,1,-0.5,"body",5
"India",4845,3,0.5,"mind",5
"India",4848,1,-0.5,"body",5
"India",4848,2,0.5,"mind",5
"India",4855,1,-0.5,"body",5
"India",4855,2,0.5,"mind",5
"India",4890,0,-0.5,"body",5
"India",4890,1,0.5,"mind",5
"India",4904,1,-0.5,"body",5
"India",4904,3,0.5,"mind",5
"India",4905,0,-0.5,"body",5
"India",4905,1,0.5,"mind",5
"India",4913,2,-0.5,"body",5
"India",4913,3,0.5,"mind",5
"India",4918,1,-0.5,"body",5
"India",4918,3,0.5,"mind",5
"India",4919,2,-0.5,"body",5
"India",4919,2,0.5,"mind",5
"India",4926,2,-0.5,"body",5
"India",4926,3,0.5,"mind",5
"India",4928,0,-0.5,"body",5
"India",4928,3,0.5,"mind",5
"India",4930,0,-0.5,"body",5
"India",4930,3,0.5,"mind",5
"India",4948,3,-0.5,"body",5
"India",4948,2,0.5,"mind",5
"India",4953,3,-0.5,"body",5
"India",4953,3,0.5,"mind",5
"India",4967,0,-0.5,"body",5
"India",4967,3,0.5,"mind",5
"India",4970,0,-0.5,"body",5
"India",4970,2,0.5,"mind",5
"India",4972,1,-0.5,"body",5
"India",4972,2,0.5,"mind",5
"India",4975,3,-0.5,"body",5
"India",4975,2,0.5,"mind",5
"India",4976,1,-0.5,"body",5
"India",4976,3,0.5,"mind",5
"India",4980,0,-0.5,"body",5
"India",4980,2,0.5,"mind",5
"India",4981,0,-0.5,"body",5
"India",4981,0,0.5,"mind",5
"India",4984,0,-0.5,"body",5
"India",4984,1,0.5,"mind",5
"India",4993,2,-0.5,"body",5
"India",4993,2,0.5,"mind",5
"India",4996,0,-0.5,"body",5
"India",4996,1,0.5,"mind",5
"India",4998,0,-0.5,"body",5
"India",4998,1,0.5,"mind",5
"India",5003,0,-0.5,"body",5
"India",5003,2,0.5,"mind",5
"India",5005,2,-0.5,"body",5
"India",5005,3,0.5,"mind",5
"India",5006,1,-0.5,"body",5
"India",5006,3,0.5,"mind",5
"India",5013,2,-0.5,"body",5
"India",5013,2,0.5,"mind",5
"India",5023,0,-0.5,"body",5
"India",5023,1,0.5,"mind",5
"India",5024,0,-0.5,"body",5
"India",5024,0,0.5,"mind",5
"India",5033,0,-0.5,"body",5
"India",5033,3,0.5,"mind",5
"Ireland",5045,0,-0.5,"body",6
"Ireland",5045,1,0.5,"mind",6
"Ireland",5057,1,-0.5,"body",6
"Ireland",5057,3,0.5,"mind",6
"Ireland",5085,0,-0.5,"body",6
"Ireland",5085,0,0.5,"mind",6
"Ireland",5087,0,-0.5,"body",6
"Ireland",5087,0,0.5,"mind",6
"Ireland",5090,1,-0.5,"body",6
"Ireland",5090,3,0.5,"mind",6
"Ireland",5098,1,-0.5,"body",6
"Ireland",5098,3,0.5,"mind",6
"Ireland",5112,1,-0.5,"body",6
"Ireland",5112,3,0.5,"mind",6
"Ireland",5121,0,-0.5,"body",6
"Ireland",5121,0,0.5,"mind",6
"Ireland",5128,0,-0.5,"body",6
"Ireland",5128,0,0.5,"mind",6
"Ireland",5135,0,-0.5,"body",6
"Ireland",5135,0,0.5,"mind",6
"Ireland",5139,1,-0.5,"body",6
"Ireland",5139,2,0.5,"mind",6
"Ireland",5145,0,-0.5,"body",6
"Ireland",5145,2,0.5,"mind",6
"Ireland",5152,2,-0.5,"body",6
"Ireland",5152,3,0.5,"mind",6
"Ireland",5164,0,-0.5,"body",6
"Ireland",5164,0,0.5,"mind",6
"Ireland",5167,0,-0.5,"body",6
"Ireland",5167,3,0.5,"mind",6
"Ireland",5171,3,-0.5,"body",6
"Ireland",5171,3,0.5,"mind",6
"Ireland",5187,1,-0.5,"body",6
"Ireland",5187,1,0.5,"mind",6
"Ireland",5199,0,-0.5,"body",6
"Ireland",5199,1,0.5,"mind",6
"Ireland",5200,1,-0.5,"body",6
"Ireland",5200,0,0.5,"mind",6
"Ireland",5201,0,-0.5,"body",6
"Ireland",5201,1,0.5,"mind",6
"Ireland",5207,1,-0.5,"body",6
"Ireland",5207,3,0.5,"mind",6
"Ireland",5213,0,-0.5,"body",6
"Ireland",5213,0,0.5,"mind",6
"Ireland",5225,0,-0.5,"body",6
"Ireland",5225,1,0.5,"mind",6
"Ireland",5232,0,-0.5,"body",6
"Ireland",5232,0,0.5,"mind",6
"Ireland",5239,1,-0.5,"body",6
"Ireland",5239,3,0.5,"mind",6
"Ireland",5242,2,-0.5,"body",6
"Ireland",5242,3,0.5,"mind",6
"Ireland",5246,0,-0.5,"body",6
"Ireland",5246,0,0.5,"mind",6
"Ireland",5257,2,-0.5,"body",6
"Ireland",5257,2,0.5,"mind",6
"Ireland",5264,2,-0.5,"body",6
"Ireland",5264,3,0.5,"mind",6
"Ireland",5266,1,-0.5,"body",6
"Ireland",5266,3,0.5,"mind",6
"Ireland",5302,0,-0.5,"body",6
"Ireland",5302,1,0.5,"mind",6
"Ireland",5304,1,-0.5,"body",6
"Ireland",5304,2,0.5,"mind",6
